date_reg,type,maker,model,colour,fuel,state
2024-08-18,motorcar,Mazda,Mazda 3,red,petrol,Negeri Sembilan
2024-05-14,motorcar,Proton,X50,silver,petrol,Johor
2024-04-26,motorcar,Perodua,Axia,red,petrol,Selangor
2024-04-11,motorcar,Nissan,Almera,silver,petrol,Sabah
2024-07-23,motorcar,Perodua,Myvi,black,petrol,Terengganu
2024-10-18,motorcar,Nissan,X-Trail,red,diesel,Johor
2024-06-12,motorcar,Perodua,Axia,silver,petrol,W.P. Kuala Lumpur
2024-02-21,motorcar,Perodua,Myvi,black,petrol,Selangor
2024-05-05,motorcar,Proton,Saga,grey,petrol,Sarawak
2024-02-24,motorcar,Proton,X50,grey,petrol,Perak
2024-11-24,motorcar,Perodua,Bezza,grey,petrol,Sabah
2024-01-16,motorcar,Mazda,Mazda 3,silver,petrol,Selangor
2024-04-04,motorcar,Perodua,Bezza,black,petrol,Terengganu
2024-06-06,motorcar,Toyota,Hilux,white,petrol,Johor
2024-08-02,motorcar,Perodua,Bezza,black,petrol,Sarawak
2024-08-26,motorcar,Toyota,Yaris,red,hybrid_petrol,Selangor
2024-01-25,motorcar,Perodua,Bezza,silver,petrol,Sabah
2024-03-11,motorcar,Mazda,Mazda 3,black,petrol,Pahang
2024-04-10,motorcar,Toyota,Yaris,silver,petrol,Pulau Pinang
2024-08-01,motorcar,Proton,X50,grey,petrol,Terengganu
2024-05-09,motorcar,Perodua,Axia,grey,hybrid_petrol,Selangor
2024-04-12,motorcar,Proton,X50,black,petrol,Sabah
2024-08-14,motorcar,Perodua,Axia,silver,petrol,Sarawak
2024-05-21,motorcar,Perodua,Bezza,grey,petrol,W.P. Kuala Lumpur
2024-02-12,motorcar,Proton,X70,black,petrol,Selangor
2024-07-10,motorcar,Perodua,Axia,silver,petrol,Negeri Sembilan
2024-10-05,motorcar,Toyota,Vios,grey,petrol,Kelantan
2024-03-15,motorcar,Proton,X70,red,petrol,Sabah
2024-08-25,motorcar,Perodua,Myvi,white,petrol,Perak
2024-08-17,motorcar,Perodua,Myvi,grey,petrol,W.P. Kuala Lumpur
2024-01-21,motorcar,Toyota,Yaris,red,petrol,Selangor
2024-11-26,motorcar,Perodua,Axia,grey,petrol,W.P. Kuala Lumpur
2024-01-02,motorcar,Perodua,Bezza,white,hybrid_petrol,W.P. Kuala Lumpur
2024-08-25,motorcar,Perodua,Myvi,red,petrol,Melaka
2024-05-17,motorcar,Honda,HR-V,red,petrol,Perak
2024-02-17,motorcar,Perodua,Bezza,white,petrol,Kelantan
2024-08-10,motorcar,Perodua,Myvi,grey,petrol,Pahang
2024-10-20,motorcar,Honda,City,red,petrol,Johor
2024-07-24,motorcar,Perodua,Myvi,grey,petrol,Pulau Pinang
2024-09-05,motorcar,Perodua,Bezza,black,petrol,W.P. Kuala Lumpur
2024-11-27,motorcar,Proton,X70,grey,hybrid_petrol,Melaka
2024-11-15,motorcar,Toyota,Yaris,silver,petrol,Johor
2024-07-01,motorcar,Perodua,Myvi,white,diesel,Johor
2024-06-01,motorcar,Perodua,Myvi,grey,petrol,Sabah
2024-09-03,motorcar,Proton,Saga,red,petrol,Sarawak
2024-10-18,motorcar,Proton,X70,red,petrol,Selangor
2024-09-07,motorcar,Perodua,Bezza,white,petrol,Selangor
2024-02-14,motorcar,Proton,X50,red,petrol,Selangor
2024-04-04,motorcar,Honda,HR-V,grey,petrol,Selangor
2024-08-06,motorcar,Honda,HR-V,black,petrol,Selangor
2024-11-14,motorcar,Perodua,Bezza,white,petrol,Kelantan
2024-04-09,motorcar,Perodua,Bezza,white,diesel,Sabah
2024-02-24,motorcar,Honda,HR-V,red,petrol,Selangor
2024-11-05,motorcar,Toyota,Hilux,grey,petrol,Sabah
2024-07-18,motorcar,Nissan,Almera,red,petrol,Sarawak
2024-11-17,motorcar,Perodua,Axia,silver,petrol,Terengganu
2024-11-25,motorcar,Proton,X70,grey,petrol,Johor
2024-03-20,motorcar,Perodua,Bezza,grey,petrol,Kedah
2024-03-19,motorcar,Toyota,Yaris,silver,petrol,Sabah
2024-07-06,motorcar,Honda,HR-V,black,petrol,Selangor
2024-04-17,motorcar,Nissan,X-Trail,black,petrol,Kelantan
2024-07-14,motorcar,Honda,HR-V,black,petrol,W.P. Kuala Lumpur
2024-01-23,motorcar,Proton,X70,silver,petrol,Melaka
2024-01-24,motorcar,Perodua,Myvi,silver,hybrid_petrol,Selangor
2024-10-11,motorcar,Perodua,Myvi,silver,petrol,Selangor
2024-03-03,motorcar,Honda,HR-V,silver,petrol,Sarawak
2024-07-10,motorcar,Perodua,Bezza,grey,petrol,Selangor
2024-06-18,motorcar,Proton,X50,grey,petrol,Sabah
2024-08-15,motorcar,Proton,Saga,black,petrol,Negeri Sembilan
2024-02-17,motorcar,Proton,X70,grey,petrol,Sabah
2024-09-12,motorcar,Honda,City,red,petrol,Perak
2024-11-14,motorcar,Proton,Saga,silver,petrol,Sarawak
2024-04-25,motorcar,Toyota,Yaris,black,diesel,Selangor
2024-12-25,motorcar,Honda,HR-V,red,petrol,Selangor
2024-05-06,motorcar,Proton,X50,red,petrol,Selangor
2024-12-26,motorcar,Honda,City,silver,petrol,Sabah
2024-02-27,motorcar,Honda,City,red,petrol,Terengganu
2024-08-14,motorcar,Perodua,Bezza,black,petrol,Sabah
2024-02-02,motorcar,Proton,Saga,grey,petrol,Johor
2024-11-25,motorcar,Perodua,Axia,red,petrol,Sabah
2024-07-05,motorcar,Proton,X70,black,petrol,Sabah
2024-05-11,motorcar,Perodua,Axia,white,petrol,Kelantan
2024-01-15,motorcar,Perodua,Axia,white,petrol,Pahang
2024-09-22,motorcar,Toyota,Vios,silver,petrol,Kedah
2024-03-09,motorcar,Perodua,Bezza,grey,petrol,Sarawak
2024-03-23,motorcar,Proton,X70,black,diesel,Johor
2024-08-27,motorcar,Honda,HR-V,grey,petrol,Selangor
2024-04-11,motorcar,Perodua,Myvi,grey,petrol,Negeri Sembilan
2024-05-17,motorcar,Nissan,Almera,grey,petrol,W.P. Kuala Lumpur
2024-05-19,motorcar,Perodua,Bezza,black,petrol,Sabah
2024-06-21,motorcar,Nissan,X-Trail,grey,petrol,Terengganu
2024-01-24,motorcar,Honda,City,silver,petrol,W.P. Kuala Lumpur
2024-09-18,motorcar,Proton,X50,white,petrol,Sarawak
2024-08-06,motorcar,Perodua,Bezza,silver,petrol,Kedah
2024-12-03,motorcar,Perodua,Axia,red,petrol,Sarawak
2024-04-03,motorcar,Nissan,X-Trail,white,petrol,Selangor
2024-12-27,motorcar,Honda,HR-V,silver,petrol,Perlis
2024-02-19,motorcar,Toyota,Yaris,black,petrol,Perak
2024-03-19,motorcar,Perodua,Myvi,white,diesel,Pahang
2024-07-05,motorcar,Proton,X50,red,diesel,W.P. Putrajaya
2024-08-05,motorcar,Perodua,Bezza,red,diesel,Johor
2024-07-09,motorcar,Toyota,Vios,silver,petrol,W.P. Kuala Lumpur
2024-07-15,motorcar,Perodua,Axia,grey,petrol,Johor
2024-05-19,motorcar,Proton,X70,red,petrol,Terengganu
2024-08-23,motorcar,Perodua,Axia,white,petrol,Sabah
2024-10-01,motorcar,Proton,Saga,red,diesel,Sarawak
2024-07-26,motorcar,Perodua,Bezza,silver,petrol,W.P. Kuala Lumpur
2024-12-18,motorcar,Toyota,Vios,white,petrol,Pahang
2024-01-11,motorcar,Toyota,Hilux,black,petrol,Negeri Sembilan
2024-06-19,motorcar,Nissan,Almera,silver,diesel,W.P. Kuala Lumpur
2024-01-14,motorcar,Proton,Saga,silver,petrol,Sarawak
2024-02-11,motorcar,Honda,City,black,hybrid_petrol,Selangor
2024-11-20,motorcar,Mazda,Mazda 3,black,petrol,Selangor
2024-04-25,motorcar,Perodua,Myvi,grey,petrol,Sarawak
2024-09-13,motorcar,Proton,X70,grey,petrol,Kedah
2024-11-16,motorcar,Perodua,Axia,red,diesel,Pulau Pinang
2024-02-11,motorcar,Perodua,Axia,white,petrol,Pulau Pinang
2024-07-13,motorcar,Proton,X50,white,petrol,Kelantan
2024-01-08,motorcar,BYD,Seal,grey,electric,Selangor
2024-05-21,motorcar,Toyota,Vios,silver,petrol,Sabah
2024-02-19,motorcar,Honda,Civic,grey,petrol,Kedah
2024-11-14,motorcar,Toyota,Yaris,grey,petrol,Kedah
2024-11-21,motorcar,Honda,Civic,grey,diesel,Perak
2024-07-05,motorcar,Porsche,Taycan,silver,electric,Perak
2024-11-13,motorcar,Perodua,Axia,white,petrol,Johor
2024-03-24,motorcar,Proton,Saga,white,petrol,W.P. Kuala Lumpur
2024-12-23,motorcar,Mazda,CX-5,white,petrol,Sarawak
2024-07-27,motorcar,Mazda,Mazda 3,red,petrol,Selangor
2024-08-18,motorcar,Perodua,Myvi,silver,petrol,Sabah
2024-01-05,motorcar,Proton,X70,grey,petrol,Johor
2024-05-03,motorcar,BYD,Seal,white,electric,Sarawak
2024-02-10,motorcar,Perodua,Axia,red,diesel,Melaka
2024-11-12,motorcar,Honda,City,white,petrol,Selangor
2024-12-02,motorcar,Honda,Civic,white,petrol,Kelantan
2024-02-09,motorcar,Perodua,Bezza,black,hybrid_petrol,Selangor
2024-11-23,motorcar,Honda,Civic,white,petrol,Sabah
2024-02-05,motorcar,Honda,HR-V,red,diesel,Sarawak
2024-10-07,motorcar,Proton,X70,silver,petrol,Johor
2024-07-09,motorcar,Nissan,Almera,white,petrol,Kedah
2024-03-25,motorcar,Proton,X50,red,petrol,Pulau Pinang
2024-11-07,motorcar,Perodua,Bezza,white,petrol,Kelantan
2024-06-05,motorcar,Toyota,Yaris,silver,petrol,Pahang
2024-12-27,motorcar,Proton,X70,red,petrol,Johor
2024-09-21,motorcar,Perodua,Bezza,grey,petrol,Sarawak
2024-09-26,motorcar,Honda,City,silver,petrol,Terengganu
2024-07-08,motorcar,Toyota,Yaris,red,petrol,Selangor
2024-08-24,motorcar,Proton,X70,black,petrol,Sarawak
2024-11-26,motorcar,Mazda,Mazda 3,silver,petrol,Sarawak
2024-12-25,motorcar,Mazda,Mazda 3,silver,diesel,Terengganu
2024-04-09,motorcar,Hyundai,Ioniq 5,silver,electric,Kedah
2024-07-10,motorcar,Perodua,Myvi,grey,petrol,Melaka
2024-12-27,motorcar,Proton,X70,grey,diesel,Kelantan
2024-09-26,motorcar,Proton,Saga,grey,petrol,Pulau Pinang
2024-10-01,motorcar,Toyota,Yaris,silver,hybrid_petrol,W.P. Kuala Lumpur
2024-01-26,motorcar,Proton,X50,white,petrol,Sabah
2024-05-09,motorcar,Tesla,Model Y,white,electric,Selangor
2024-03-16,motorcar,Honda,City,grey,hybrid_petrol,Selangor
2024-12-03,motorcar,Perodua,Myvi,black,petrol,Negeri Sembilan
2024-04-11,motorcar,Proton,X70,silver,petrol,Selangor
2024-09-06,motorcar,Mazda,Mazda 3,black,petrol,Selangor
2024-01-25,motorcar,Perodua,Axia,grey,petrol,Pulau Pinang
2024-12-06,motorcar,Perodua,Myvi,black,diesel,Selangor
2024-07-12,motorcar,Nissan,Almera,black,petrol,Sarawak
2024-09-05,motorcar,Honda,HR-V,grey,petrol,Sarawak
2024-06-14,motorcar,Perodua,Axia,white,petrol,Sabah
2024-07-04,motorcar,Perodua,Myvi,red,petrol,Perak
2024-02-18,motorcar,Proton,Saga,silver,diesel,Perak
2024-08-15,motorcar,Perodua,Myvi,black,petrol,Perak
2024-06-09,motorcar,Perodua,Bezza,grey,petrol,Sarawak
2024-07-20,motorcar,Toyota,Yaris,silver,petrol,Kedah
2024-03-18,motorcar,Nissan,Almera,silver,petrol,Kelantan
2024-01-12,motorcar,Toyota,Vios,black,petrol,Sabah
2024-09-09,motorcar,Toyota,Yaris,grey,petrol,Selangor
2024-09-05,motorcar,Perodua,Bezza,grey,petrol,Kedah
2024-12-17,motorcar,Proton,Saga,white,petrol,Pulau Pinang
2024-03-07,motorcar,BMW,i4,white,electric,Sabah
2024-03-24,motorcar,Perodua,Axia,red,petrol,Melaka
2024-05-08,motorcar,Proton,Saga,silver,diesel,Selangor
2024-11-05,motorcar,Perodua,Bezza,grey,petrol,Negeri Sembilan
2024-11-18,motorcar,Toyota,Hilux,black,petrol,Selangor
2024-03-11,motorcar,Perodua,Bezza,white,petrol,Sabah
2024-04-08,motorcar,Perodua,Bezza,grey,petrol,W.P. Kuala Lumpur
2024-06-23,motorcar,Proton,Saga,black,hybrid_petrol,W.P. Kuala Lumpur
2024-12-16,motorcar,Proton,X50,silver,petrol,Sarawak
2024-03-03,motorcar,Perodua,Axia,silver,petrol,Selangor
2024-05-11,motorcar,Toyota,Vios,silver,petrol,Sarawak
2024-11-14,motorcar,Toyota,Vios,black,petrol,Pahang
2024-06-22,motorcar,Proton,Saga,red,petrol,Negeri Sembilan
2024-05-16,motorcar,Honda,Civic,white,petrol,Selangor
2024-12-18,motorcar,Mazda,Mazda 3,silver,petrol,Kelantan
2024-01-19,motorcar,Honda,HR-V,white,diesel,Kelantan
2024-01-15,motorcar,Proton,X50,silver,hybrid_petrol,Sarawak
2024-09-15,motorcar,Honda,City,red,petrol,Pahang
2024-06-24,motorcar,Proton,X70,grey,petrol,Sabah
2024-12-07,motorcar,Perodua,Axia,white,diesel,Pulau Pinang
2024-10-26,motorcar,Honda,HR-V,white,petrol,Johor
2024-05-11,motorcar,Honda,City,white,diesel,Selangor
2024-03-23,motorcar,BYD,Atto 3,black,electric,Perak
2024-12-06,motorcar,Proton,X50,silver,petrol,W.P. Kuala Lumpur
2024-02-23,motorcar,Proton,X70,black,petrol,Sarawak
2024-08-11,motorcar,Proton,X70,red,petrol,Negeri Sembilan
2024-12-14,motorcar,Perodua,Myvi,red,petrol,Pulau Pinang
2024-12-07,motorcar,Perodua,Axia,black,petrol,Kelantan
2024-12-10,motorcar,Toyota,Yaris,silver,petrol,Selangor
2024-04-16,motorcar,Toyota,Vios,grey,diesel,Johor
2024-04-21,motorcar,Perodua,Myvi,silver,petrol,Sarawak
2024-12-02,motorcar,Perodua,Axia,silver,petrol,Johor
2024-06-21,motorcar,Proton,X70,grey,petrol,Sarawak
2024-04-08,motorcar,Perodua,Bezza,red,petrol,Pulau Pinang
2024-11-11,motorcar,Perodua,Myvi,grey,petrol,Johor
2024-06-06,motorcar,Perodua,Bezza,white,petrol,Perak
2024-11-17,motorcar,Proton,Saga,red,petrol,Johor
2024-07-27,motorcar,Honda,City,silver,diesel,Sabah
2024-06-04,motorcar,Proton,Saga,white,petrol,Kelantan
2024-09-14,motorcar,Perodua,Axia,red,petrol,Terengganu
2024-02-12,motorcar,Perodua,Axia,grey,hybrid_petrol,Selangor
2024-11-20,motorcar,Proton,X50,silver,petrol,Kelantan
2024-03-03,motorcar,Perodua,Myvi,red,petrol,Negeri Sembilan
2024-10-18,motorcar,Perodua,Myvi,black,petrol,Kedah
2024-08-03,motorcar,Perodua,Myvi,black,diesel,Melaka
2024-01-21,motorcar,Perodua,Bezza,white,petrol,Sabah
2024-04-17,motorcar,Perodua,Axia,grey,petrol,W.P. Kuala Lumpur
2024-01-19,motorcar,Honda,Civic,white,petrol,Sabah
2024-09-01,motorcar,Toyota,Vios,black,petrol,Selangor
2024-07-19,motorcar,Mazda,Mazda 3,white,diesel,Selangor
2024-04-13,motorcar,Proton,X50,black,petrol,Selangor
2024-06-18,motorcar,Honda,City,red,diesel,Negeri Sembilan
2024-12-27,motorcar,Perodua,Bezza,silver,petrol,Sabah
2024-11-12,motorcar,Proton,X70,black,petrol,Selangor
2024-11-04,motorcar,Perodua,Bezza,silver,petrol,Melaka
2024-02-14,motorcar,Perodua,Bezza,grey,petrol,Sarawak
2024-08-24,motorcar,Perodua,Myvi,grey,diesel,Sabah
2024-09-11,motorcar,Nissan,X-Trail,red,petrol,Pulau Pinang
2024-07-08,motorcar,Perodua,Axia,black,petrol,W.P. Kuala Lumpur
2024-05-27,motorcar,Proton,X50,white,petrol,Kedah
2024-07-19,motorcar,Perodua,Bezza,grey,petrol,Perak
2024-11-17,motorcar,MINI,Cooper SE,white,electric,Johor
2024-10-22,motorcar,Honda,City,grey,hybrid_petrol,Sabah
2024-01-18,motorcar,Honda,Civic,silver,petrol,Pulau Pinang
2024-10-03,motorcar,Perodua,Bezza,red,petrol,Pulau Pinang
2024-05-18,motorcar,Perodua,Bezza,black,diesel,Sabah
2024-06-15,motorcar,Proton,X70,red,petrol,Pulau Pinang
2024-03-26,motorcar,Perodua,Bezza,white,petrol,Terengganu
2024-01-19,motorcar,Toyota,Yaris,white,petrol,Johor
2024-11-23,motorcar,Perodua,Bezza,silver,petrol,Sarawak
2024-12-18,motorcar,Proton,X50,black,petrol,Selangor
2024-04-08,motorcar,Proton,X50,black,petrol,Terengganu
2024-03-14,motorcar,Porsche,Taycan,silver,electric,Selangor
2024-03-14,motorcar,Perodua,Axia,silver,petrol,Selangor
2024-01-20,motorcar,Mazda,CX-5,black,petrol,Selangor
2024-11-11,motorcar,Proton,X50,silver,petrol,Pahang
2024-08-02,motorcar,Nissan,X-Trail,red,diesel,Terengganu
2024-08-05,motorcar,Perodua,Bezza,silver,hybrid_petrol,Pahang
2024-05-25,motorcar,Perodua,Myvi,white,petrol,Kedah
2024-12-04,motorcar,Nissan,Almera,black,petrol,Selangor
2024-12-21,motorcar,Toyota,Hilux,red,petrol,Sarawak
2024-08-27,motorcar,BMW,iX,grey,electric,Selangor
2024-08-03,motorcar,Proton,X50,grey,petrol,Perlis
2024-12-06,motorcar,Perodua,Axia,red,petrol,Sabah
2024-05-11,motorcar,Proton,X70,grey,petrol,Sabah
2024-10-04,motorcar,Perodua,Axia,red,petrol,Melaka
2024-12-11,motorcar,Honda,HR-V,white,petrol,Perak
2024-10-02,motorcar,Perodua,Bezza,silver,petrol,Kedah
2024-10-24,motorcar,Perodua,Axia,silver,petrol,Selangor
2024-06-27,motorcar,Perodua,Bezza,red,petrol,Sabah
2024-05-04,motorcar,Perodua,Axia,red,petrol,Selangor
2024-12-20,motorcar,Proton,X50,silver,petrol,Johor
2024-05-11,motorcar,Perodua,Bezza,silver,petrol,Kelantan
2024-05-01,motorcar,Toyota,Hilux,red,petrol,Johor
2024-08-22,motorcar,Mazda,CX-5,silver,diesel,Sarawak
2024-10-16,motorcar,Nissan,X-Trail,white,petrol,Pulau Pinang
2024-02-05,motorcar,Proton,X50,grey,petrol,Kedah
2024-08-13,motorcar,Toyota,Hilux,silver,petrol,Terengganu
2024-04-10,motorcar,Proton,X50,white,petrol,Selangor
2024-04-24,motorcar,Proton,Saga,red,petrol,Pulau Pinang
2024-02-24,motorcar,Toyota,Yaris,silver,petrol,Terengganu
2024-07-05,motorcar,Toyota,Hilux,white,petrol,Sarawak
2024-04-22,motorcar,Perodua,Bezza,silver,diesel,Pulau Pinang
2024-07-21,motorcar,Honda,Civic,grey,petrol,Perak
2024-09-22,motorcar,Proton,Saga,silver,petrol,Pulau Pinang
2024-12-26,motorcar,Toyota,Hilux,black,petrol,Kelantan
2024-04-12,motorcar,Proton,Saga,grey,petrol,Pulau Pinang
2024-04-24,motorcar,Proton,X70,red,petrol,Kelantan
2024-01-13,motorcar,Toyota,Vios,grey,petrol,Perak
2024-04-09,motorcar,Toyota,Vios,black,petrol,Selangor
2024-07-05,motorcar,Nissan,X-Trail,white,petrol,Terengganu
2024-05-21,motorcar,Toyota,Hilux,red,hybrid_petrol,Selangor
2024-08-27,motorcar,Proton,X50,grey,petrol,Selangor
2024-06-10,motorcar,Mercedes-Benz,EQA,grey,electric,Johor
2024-07-03,motorcar,Perodua,Myvi,grey,hybrid_petrol,Sabah
2024-09-11,motorcar,Honda,Civic,grey,petrol,Selangor
2024-11-12,motorcar,Perodua,Bezza,red,petrol,W.P. Kuala Lumpur
2024-05-07,motorcar,Toyota,Hilux,grey,petrol,W.P. Kuala Lumpur
2024-04-07,motorcar,Perodua,Bezza,white,petrol,Selangor
2024-02-12,motorcar,Perodua,Myvi,black,diesel,Perak
2024-05-14,motorcar,Perodua,Bezza,black,petrol,Perlis
2024-06-14,motorcar,Proton,X50,black,petrol,Kedah
2024-04-06,motorcar,Proton,Saga,silver,petrol,W.P. Labuan
2024-08-05,motorcar,Proton,Saga,silver,petrol,Selangor
2024-04-26,motorcar,Toyota,Yaris,grey,petrol,Perak
2024-02-25,motorcar,Mazda,CX-5,white,petrol,Selangor
2024-01-16,motorcar,Toyota,Vios,silver,petrol,Selangor
2024-01-02,motorcar,Toyota,Vios,white,petrol,Pahang
2024-01-19,motorcar,Toyota,Vios,silver,petrol,Terengganu
2024-01-21,motorcar,Tesla,Model 3,grey,electric,Perak
2024-02-06,motorcar,Toyota,Vios,red,petrol,Sarawak
2024-11-27,motorcar,Toyota,Hilux,grey,petrol,Selangor
2024-02-21,motorcar,Honda,Civic,red,petrol,Selangor
2024-06-26,motorcar,Honda,City,silver,diesel,Selangor
2024-10-05,motorcar,Toyota,Yaris,silver,petrol,Pulau Pinang
2024-09-14,motorcar,Toyota,Vios,black,petrol,Sabah
2024-03-01,motorcar,Perodua,Myvi,black,petrol,Johor
2024-06-03,motorcar,Perodua,Myvi,black,petrol,Sabah
2024-04-15,motorcar,BYD,Dolphin,silver,electric,Kedah
2024-07-15,motorcar,Proton,X70,silver,petrol,Terengganu
2024-05-07,motorcar,Perodua,Axia,silver,petrol,Sabah
2024-10-22,motorcar,Perodua,Myvi,grey,petrol,Pahang
2024-01-10,motorcar,Toyota,Hilux,silver,petrol,Kelantan
2024-05-21,motorcar,Perodua,Bezza,black,hybrid_petrol,Kelantan
2024-09-01,motorcar,Perodua,Axia,grey,petrol,Pulau Pinang
2024-04-22,motorcar,Perodua,Myvi,silver,petrol,Kedah
2024-05-14,motorcar,Nissan,Almera,black,petrol,Selangor
2024-12-03,motorcar,Proton,Saga,red,petrol,Selangor
2024-05-04,motorcar,Perodua,Myvi,white,petrol,Sabah
2024-10-23,motorcar,Perodua,Axia,silver,petrol,Sabah
2024-06-05,motorcar,Perodua,Bezza,black,petrol,Kedah
2024-03-13,motorcar,Perodua,Myvi,grey,petrol,Terengganu
2024-12-25,motorcar,Honda,Civic,silver,petrol,Negeri Sembilan
2024-12-24,motorcar,Perodua,Axia,silver,petrol,Selangor
2024-11-10,motorcar,Toyota,Vios,black,petrol,Sarawak
2024-03-10,motorcar,Perodua,Myvi,red,diesel,Pulau Pinang
2024-04-25,motorcar,Mazda,CX-5,white,petrol,Perak
2024-12-26,motorcar,Perodua,Bezza,red,petrol,W.P. Kuala Lumpur
2024-10-18,motorcar,Toyota,Vios,white,petrol,Selangor
2024-08-19,motorcar,Perodua,Bezza,grey,diesel,Selangor
2024-08-03,motorcar,Proton,X50,red,diesel,Selangor
2024-12-15,motorcar,Perodua,Axia,white,petrol,Perak
